change_id	change_type	ags_new	name_new	ags_old	name_old	change_date_stat
03/2010/0001-R	3	03255003	Bodenwerder, Stadt	03255003	Bodenwerder, Stadt	2010-01-01
03/2010/0001-R	3	03255016	Halle	03255016	Halle	2010-01-01
03/2010/0001-R	3	03255017	Hehlen	03255017	Hehlen	2010-01-01
03/2010/0001-R	3	03255020	Heyen	03255020	Heyen	2010-01-01
03/2010/0001-R	3	03255025	Kirchbrak	03255025	Kirchbrak	2010-01-01
03/2010/0001-R	3	03255032	Pegestorf	03255032	Pegestorf	2010-01-01
03/2010/0001-R	3	03255005	Brevörde	03255005	Brevörde	2010-01-01
03/2010/0001-R	3	03255019	Heinsen	03255019	Heinsen	2010-01-01
03/2010/0001-R	3	03255031	Ottenstein, Flecken	03255031	Ottenstein, Flecken	2010-01-01
03/2010/0001-R	3	03255033	Polle, Flecken	03255033	Polle, Flecken	2010-01-01
03/2010/0001-R	3	03255035	Vahlbruch	03255035	Vahlbruch	2010-01-01
06/2010/0001-R	4	06435014	Hanau, Brüder-Grimm-Stadt	06435014	Hanau, Stadt	2010-01-01
06/2010/0001-R	4	06435028	Steinau an der Straße, Brüder-Grimm-Stadt	06435028	Steinau an der Straße, Stadt	2010-01-01
06/2010/0001-R	4	06533015	Villmar, Marktflecken	06533015	Villmar	2010-01-01
13/2010/0001-R	1	13056010	Fincken	13056025	Jaebetz	2010-01-01
13/2010/0002-R	1	13059002	Anklam, Stadt	13059076	Pelsin	2010-01-01
13/2010/0003-R	1	13059028	Gützkow, Stadt	13059058	Lüssow	2010-01-01
14/2010/0001-R	3	14521150	Drebach	14521150	Drebach	2010-01-01
14/2010/0001-R	1	14521150	Drebach	14521650	Venusberg	2010-01-01
14/2010/0002-R	1	14626180	Herrnhut, Stadt	14626550	Strahwalde	2010-01-01
14/2010/0003-R	1	14627060	Großenhain, Stadt	14627350	Zabeltitz	2010-01-01
15/2010/0001-R	3	15081030	Arendsee (Altmark), Stadt	15081030	Arendsee (Altmark), Stadt	2010-01-01
15/2010/0001-R	1	15081240	Kalbe (Milde), Stadt	15081085	Brunau	2010-01-01
15/2010/0001-R	1	15081240	Kalbe (Milde), Stadt	15081120	Engersen	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081175	Höwisch	2010-01-01
15/2010/0001-R	1	15081240	Kalbe (Milde), Stadt	15081200	Jeetze	2010-01-01
15/2010/0001-R	1	15081240	Kalbe (Milde), Stadt	15081235	Kakerbeck	2010-01-01
15/2010/0001-R	3	15081240	Kalbe (Milde), Stadt	15081240	Kalbe (Milde), Stadt	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081260	Kläden	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081270	Kleinau	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081315	Leppin	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081390	Neulingen	2010-01-01
15/2010/0001-R	1	15081240	Kalbe (Milde), Stadt	15081400	Packebusch	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081460	Sanne-Kerkuhn	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081470	Schrampe	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081520	Thielbeer	2010-01-01
15/2010/0001-R	1	15081240	Kalbe (Milde), Stadt	15081535	Vienau	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081595	Ziemendorf	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081065	Binde	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081250	Kaulitz	2010-01-01
15/2010/0001-R	1	15081030	Arendsee (Altmark), Stadt	15081255	Kerkau	2010-01-01
15/2010/0002-R	3	15081026	Apenburg-Winterfeld, Flecken	15081026	Apenburg-Winterfeld, Flecken	2010-01-01
15/2010/0002-R	3	15081045	Beetzendorf	15081045	Beetzendorf	2010-01-01
15/2010/0002-R	1	15081225	Jübar	15081075	Bornsen	2010-01-01
15/2010/0002-R	3	15081095	Dähre	15081095	Dähre	2010-01-01
15/2010/0002-R	3	15081105	Diesdorf, Flecken	15081105	Diesdorf, Flecken	2010-01-01
15/2010/0002-R	1	15081225	Jübar	15081150	Hanum	2010-01-01
15/2010/0002-R	3	15081225	Jübar	15081225	Jübar	2010-01-01
15/2010/0002-R	1	15081455	Salzwedel, Hansestadt	15081310	Langenapel	2010-01-01
