change_id	change_type	ags_new	name_new	ags_old	name_old	change_date_stat
03/2014/0001-R	1	03153017	Goslar, Stadt	03153005	Goslar, Stadt	01.01.2014
03/2014/0001-R	1	03153017	Goslar, Stadt	03153013	Vienenburg, Stadt	01.01.2014
03/2014/0002-R	1	03352060	Hagen im Bremischen	03352007	Bramstedt	01.01.2014
03/2014/0002-R	1	03352060	Hagen im Bremischen	03352014	Driftsethe	01.01.2014
03/2014/0002-R	1	03352060	Hagen im Bremischen	03352019	Hagen im Bremischen	01.01.2014
03/2014/0002-R	1	03352060	Hagen im Bremischen	03352049	Sandstedt	01.01.2014
03/2014/0002-R	1	03352060	Hagen im Bremischen	03352054	Uthlede	01.01.2014
03/2014/0002-R	1	03352060	Hagen im Bremischen	03352058	Wulsbüttel	01.01.2014
03/2014/0003-R	3	03359014	Düdenbüttel	03359014	Düdenbüttel	01.01.2014
03/2014/0003-R	3	03359015	Engelschoff	03359015	Engelschoff	01.01.2014
03/2014/0003-R	3	03359019	Großenwörden	03359019	Großenwörden	01.01.2014
03/2014/0003-R	3	03359022	Hammah	03359022	Hammah	01.01.2014
03/2014/0003-R	3	03359025	Himmelpforten	03359025	Himmelpforten	01.01.2014
03/2014/0003-R	3	03359009	Burweg	03359009	Burweg	01.01.2014
03/2014/0003-R	3	03359016	Estorf	03359016	Estorf	01.01.2014
03/2014/0003-R	3	03359024	Heinbockel	03359024	Heinbockel	01.01.2014
03/2014/0003-R	3	03359029	Kranenburg	03359029	Kranenburg	01.01.2014
03/2014/0003-R	3	03359036	Oldendorf	03359036	Oldendorf	01.01.2014
03/2014/0004-R	1	03351025	Eschede	03351009	Eschede	01.01.2014
03/2014/0004-R	1	03351025	Eschede	03351011	Habighorst	01.01.2014
03/2014/0004-R	1	03351025	Eschede	03351014	Höfer	01.01.2014
03/2014/0004-R	1	03351025	Eschede	03351019	Scharnhorst	01.01.2014
14/2014/0001-R	1	14521495	Pockau-Lengefeld, Stadt	14521360	Lengefeld, Stadt	01.01.2014
14/2014/0001-R	1	14521495	Pockau-Lengefeld, Stadt	14521490	Pockau	01.01.2014
14/2014/0002-R	1	14628060	Dippoldiswalde, Stadt	14628350	Schmiedeberg	01.01.2014
14/2014/0003-R	1	14523200	Markneukirchen, Stadt	14523110	Erlbach	01.01.2014
14/2014/0003-R	3	14523200	Markneukirchen, Stadt	14523200	Markneukirchen, Stadt	01.01.2014
14/2014/0004-R	1	14627180	Nossen, Stadt	14627090	Ketzerbachtal	01.01.2014
14/2014/0004-R	1	14627180	Nossen, Stadt	14627120	Leuben-Schleinitz	01.01.2014
01/2014/0001-R	3	01057001	Ascheberg (Holstein)	01057001	Ascheberg (Holstein)	01.01.2014
01/2014/0001-R	3	01057009	Bösdorf	01057009	Bösdorf	01.01.2014
14/2014/0005-R	1	14626450	Reichenbach/O.L., Stadt	14626540	Sohland a. Rotstein	01.01.2014
15/2014/0004-R	1	15085235	Quedlinburg, Stadt	15085035	Bad Suderode	01.01.2014
15/2014/0004-R	1	15085235	Quedlinburg, Stadt	15085120	Gernrode, Stadt	01.01.2014
15/2014/0005-R	1	15083270	Haldensleben, Stadt	15083495	Süplingen	01.01.2014
15/2014/0008-R	1	15091391	Zahna-Elster, Stadt	15091230	Mühlanger	01.01.2014
12/2014/0001-R	1	12067072	Briesen (Mark)	12067310	Madlitz-Wilmersdorf	01.01.2014
13/2014/0001-R	4	13071174	Schloen-Dratow	13071174	Dratow-Schloen	01.01.2014
13/2014/0002-R	1	13075155	Neetzow-Liepen	13075077	Liepen	01.01.2014
13/2014/0002-R	1	13075155	Neetzow-Liepen	13075096	Neetzow	01.01.2014
13/2014/0003-R	1	13076165	Gehlsbach	13076066	Karbow-Vietlübbe	01.01.2014
13/2014/0003-R	1	13076165	Gehlsbach	13076144	Wahlstorf	01.01.2014
13/2014/0004-R	1	13073077	Saal	13073008	Bartelshagen II b. Barth	01.01.2014
13/2014/0005-R	3	13076005	Banzkow	13076005	Banzkow	01.01.2014
13/2014/0005-R	3	13076113	Plate	13076113	Plate	01.01.2014
13/2014/0005-R	3	13076133	Sukow	13076133	Sukow	01.01.2014
13/2014/0005-R	3	13076007	Barnin	13076007	Barnin	01.01.2014
13/2014/0005-R	3	13076023	Bülow	13076023	Bülow	01.01.2014
13/2014/0005-R	3	13076025	Crivitz, Stadt	13076025	Crivitz, Stadt	01.01.2014
13/2014/0005-R	3	13076029	Demen	13076029	Demen	01.01.2014
13/2014/0005-R	3	13076038	Friedrichsruhe	13076038	Friedrichsruhe	01.01.2014
13/2014/0005-R	3	13076140	Tramm	13076140	Tramm	01.01.2014
13/2014/0005-R	3	13076158	Zapel	13076158	Zapel	01.01.2014
13/2014/0005-R	3	13076024	Cambs	13076024	Cambs	01.01.2014
13/2014/0005-R	3	13076033	Dobin am See	13076033	Dobin am See	01.01.2014
13/2014/0005-R	3	13076044	Gneven	13076044	Gneven	01.01.2014
13/2014/0005-R	3	13076080	Langen Brütz	13076080	Langen Brütz	01.01.2014
13/2014/0005-R	3	13076082	Leezen	13076082	Leezen	01.01.2014
13/2014/0005-R	3	13076112	Pinnow	13076112	Pinnow	01.01.2014
13/2014/0005-R	3	13076117	Raben Steinfeld	13076117	Raben Steinfeld	01.01.2014
13/2014/0006-R	3	13074059	Papenhusen	13074059	Papenhusen	01.01.2014
13/2014/0007-R	1	13071035	Friedland, Stadt	13071031	Eichhorst	01.05.2014
13/2014/0007-R	1	13071035	Friedland, Stadt	13071040	Glienke	01.05.2014
13/2014/0008-R	1	13071099	Mirow, Stadt	13071126	Roggentin	01.05.2014
13/2014/0009-R	1	13071021	Burg Stargard, Stadt	13071024	Cammin	01.05.2014
13/2014/0010-R	1	13071164	Woldegk, Stadt	13071061	Helpt	01.05.2014
