satzart	textkennzeichen	land	rb	kreis	vb	gemeinde	name	area	area_date	pop_sum	pop_m	pop_w	pop_p_km2	plz	lat	lng	rg_key	rg_name	urb_key	urb_class	ags_2017
60	61	01	0	01	0000	000	Flensburg, Stadt	56,74	31.12.2015	85942,0	42767,0	43175,0	1515,0	24937	9,43751	54,78252	F02	Ostsee	01	dicht besiedelt	01001000
60	61	01	0	02	0000	000	Kiel, Landeshauptstadt	118,65	31.12.2015	246306,0	119835,0	126471,0	2076,0	24103	10,13727	54,321775	F02	Ostsee	01	dicht besiedelt	01002000
60	61	01	0	03	0000	000	Lübeck, Hansestadt	214,21	31.12.2015	216253,0	103683,0	112570,0	1010,0	23539	10,683932	53,866269	F02	Ostsee	01	dicht besiedelt	01003000
60	61	01	0	04	0000	000	Neumünster, Stadt	71,63	31.12.2015	79197,0	39118,0	40079,0	1106,0	24534	9,988422	54,069895	F04	übrig. Schleswig-Holstein	01	dicht besiedelt	01004000
60	63	01	0	51	0011	011	Brunsbüttel, Stadt	65,23	31.12.2015	12740,0	6430,0	6310,0	195,0	25541	9,13735	53,896932	F01	Nordsee	02	mittlere Besiedlungsdichte	01051011
60	63	01	0	51	0044	044	Heide, Stadt	31,97	31.12.2015	21422,0	10125,0	11297,0	670,0	25746	9,091156	54,193962	F04	übrig. Schleswig-Holstein	02	mittlere Besiedlungsdichte	01051044
60	64	01	0	51	5163	003	Averlak	9,07	31.12.2015	584,0	303,0	281,0	64,0	25715	9,182663	53,941154	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051003
60	64	01	0	51	5163	010	Brickeln	6,07	31.12.2015	204,0	103,0	101,0	34,0	25712	9,221166	54,00849	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051010
60	64	01	0	51	5163	012	Buchholz	14,56	31.12.2015	997,0	503,0	494,0	68,0	25712	9,223594	53,987198	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051012
60	64	01	0	51	5163	016	Burg (Dithmarschen)	11,23	31.12.2015	4147,0	2030,0	2117,0	369,0	25712	9,26246	53,99748	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051016
60	64	01	0	51	5163	022	Dingen	7,02	31.12.2015	615,0	312,0	303,0	88,0	25715	9,125804	53,960888	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051022
60	64	01	0	51	5163	024	Eddelak	9,21	31.12.2015	1360,0	663,0	697,0	148,0	25715	9,137433	53,945888	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051024
60	64	01	0	51	5163	026	Eggstedt	12,79	31.12.2015	753,0	380,0	373,0	59,0	25721	9,25927	54,054535	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051026
60	64	01	0	51	5163	032	Frestedt	10,32	31.12.2015	363,0	185,0	178,0	35,0	25727	9,175759	54,023639	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051032
60	64	01	0	51	5163	037	Großenrade	10,4	31.12.2015	483,0	240,0	243,0	46,0	25712	9,223435	54,02206	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051037
60	64	01	0	51	5163	051	Hochdonn	5,46	31.12.2015	1147,0	564,0	583,0	210,0	25712	9,293145	54,019564	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051051
60	64	01	0	51	5163	064	Kuden	11,37	31.12.2015	631,0	328,0	303,0	55,0	25712	9,192822	53,967853	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051064
60	64	01	0	51	5163	089	Quickborn	6,95	31.12.2015	184,0	90,0	94,0	26,0	25712	9,206618	54,009984	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051089
60	64	01	0	51	5163	097	Sankt Michaelisdonn	23,06	31.12.2015	3432,0	1696,0	1736,0	149,0	25693	9,122148	53,994438	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051097
60	64	01	0	51	5163	110	Süderhastedt	15,74	31.12.2015	829,0	404,0	425,0	53,0	25727	9,20886	54,04991	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051110
60	64	01	0	51	5166	021	Diekhusen-Fahrstedt	7,46	31.12.2015	741,0	375,0	366,0	99,0	25709	9,019338	53,947392	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051021
60	64	01	0	51	5166	034	Friedrichskoog	53,35	31.12.2015	2565,0	1298,0	1267,0	48,0	25718	8,89741	54,013926	F01	Nordsee	03	gering besiedelt	01051034
60	64	01	0	51	5166	046	Helse	11,44	31.12.2015	868,0	440,0	428,0	76,0	25709	9,010226	53,977556	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051046
60	64	01	0	51	5166	057	Kaiser-Wilhelm-Koog	13,06	31.12.2015	338,0	176,0	162,0	26,0	25709	8,926364	53,942933	F01	Nordsee	03	gering besiedelt	01051057
60	64	01	0	51	5166	062	Kronprinzenkoog	28,85	31.12.2015	814,0	414,0	400,0	28,0	25709	8,964528	53,97171	F01	Nordsee	03	gering besiedelt	01051062
60	63	01	0	51	5166	072	Marne, Stadt	4,83	31.12.2015	5690,0	2696,0	2994,0	1178,0	25709	9,008761	53,953695	F04	übrig. Schleswig-Holstein	02	mittlere Besiedlungsdichte	01051072
60	64	01	0	51	5166	073	Marnerdeich	1,31	31.12.2015	386,0	207,0	179,0	295,0	25709	8,982956	53,948483	F04	übrig. Schleswig-Holstein	02	mittlere Besiedlungsdichte	01051073
60	64	01	0	51	5166	076	Neufeld	10,41	31.12.2015	602,0	307,0	295,0	58,0	25724	9,019046	53,907224	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051076
60	64	01	0	51	5166	077	Neufelderkoog	9,76	31.12.2015	121,0	64,0	57,0	12,0	25724	8,968827	53,906958	F01	Nordsee	03	gering besiedelt	01051077
60	64	01	0	51	5166	090	Ramhusen	4,8	31.12.2015	156,0	79,0	77,0	33,0	25715	9,090658	53,941207	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051090
60	64	01	0	51	5166	103	Schmedeswurth	5,91	31.12.2015	190,0	100,0	90,0	32,0	25724	9,040335	53,926172	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051103
60	64	01	0	51	5166	118	Trennewurth	7,79	31.12.2015	250,0	139,0	111,0	32,0	25693	9,025792	54,000236	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051118
60	64	01	0	51	5166	119	Volsemenhusen	16,78	31.12.2015	348,0	187,0	161,0	21,0	25693	9,065625	53,967901	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051119
60	64	01	0	51	5169	005	Barkenholm	5,11	31.12.2015	168,0	90,0	78,0	33,0	25791	9,174339	54,237387	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051005
60	64	01	0	51	5169	008	Bergewöhrden	2,64	31.12.2015	35,0	15,0	20,0	13,0	25779	9,209426	54,318469	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051008
60	64	01	0	51	5169	019	Dellstedt	21,77	31.12.2015	746,0	392,0	354,0	34,0	25786	9,369143	54,237892	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051019
60	64	01	0	51	5169	020	Delve	15,84	31.12.2015	685,0	344,0	341,0	43,0	25788	9,252365	54,303978	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051020
60	64	01	0	51	5169	023	Dörpling	7,82	31.12.2015	609,0	311,0	298,0	78,0	25794	9,301925	54,260654	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051023
60	64	01	0	51	5169	030	Fedderingen	9,69	31.12.2015	275,0	135,0	140,0	28,0	25779	9,132642	54,281144	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051030
60	64	01	0	51	5169	035	Gaushorn	6,45	31.12.2015	179,0	86,0	93,0	28,0	25782	9,225318	54,194896	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051035
60	64	01	0	51	5169	036	Glüsing	4,69	31.12.2015	116,0	60,0	56,0	25,0	25779	9,216421	54,274547	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051036
60	64	01	0	51	5169	038	Groven	7,9	31.12.2015	87,0	53,0	34,0	11,0	25774	8,989147	54,300165	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051038
60	64	01	0	51	5169	047	Hemme	16,53	31.12.2015	514,0	277,0	237,0	31,0	25774	9,010966	54,28021	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051047
60	64	01	0	51	5169	049	Hennstedt	21,93	31.12.2015	1949,0	977,0	972,0	89,0	25779	9,168248	54,283636	F04	übrig. Schleswig-Holstein	03	gering besiedelt	01051049
