name	area	pop_sum	pop_m	pop_w	pop_p_km2	plz	lat	lng	urb_key	urb_class	ags_new_x	ags_new_y	name_new	ags_old	name_old
Flensburg, Stadt	56,74	85942,0	42767,0	43175,0	1515,0	24937	9,43751	54,78252	01	dicht besiedelt	01001000				
Kiel, Landeshauptstadt	118,65	246306,0	119835,0	126471,0	2076,0	24103	10,13727	54,321775	01	dicht besiedelt	01002000				
Lübeck, Hansestadt	214,21	216253,0	103683,0	112570,0	1010,0	23539	10,683932	53,866269	01	dicht besiedelt	01003000				
Neumünster, Stadt	71,63	79197,0	39118,0	40079,0	1106,0	24534	9,988422	54,069895	01	dicht besiedelt	01004000				
Brunsbüttel, Stadt	65,23	12740,0	6430,0	6310,0	195,0	25541	9,13735	53,896932	02	mittlere Besiedlungsdichte	01051011				
Heide, Stadt	31,97	21422,0	10125,0	11297,0	670,0	25746	9,091156	54,193962	02	mittlere Besiedlungsdichte	01051044				
Averlak	9,07	584,0	303,0	281,0	64,0	25715	9,182663	53,941154	03	gering besiedelt	01051003				
Brickeln	6,07	204,0	103,0	101,0	34,0	25712	9,221166	54,00849	03	gering besiedelt	01051010				
Buchholz	14,56	997,0	503,0	494,0	68,0	25712	9,223594	53,987198	03	gering besiedelt	01051012				
Burg (Dithmarschen)	11,23	4147,0	2030,0	2117,0	369,0	25712	9,26246	53,99748	03	gering besiedelt	01051016				
Dingen	7,02	615,0	312,0	303,0	88,0	25715	9,125804	53,960888	03	gering besiedelt	01051022				
Eddelak	9,21	1360,0	663,0	697,0	148,0	25715	9,137433	53,945888	03	gering besiedelt	01051024				
Eggstedt	12,79	753,0	380,0	373,0	59,0	25721	9,25927	54,054535	03	gering besiedelt	01051026				
Frestedt	10,32	363,0	185,0	178,0	35,0	25727	9,175759	54,023639	03	gering besiedelt	01051032				
Großenrade	10,4	483,0	240,0	243,0	46,0	25712	9,223435	54,02206	03	gering besiedelt	01051037				
Hochdonn	5,46	1147,0	564,0	583,0	210,0	25712	9,293145	54,019564	03	gering besiedelt	01051051				
Kuden	11,37	631,0	328,0	303,0	55,0	25712	9,192822	53,967853	03	gering besiedelt	01051064				
