ags_new	name_new	ags_old	name_old
03352038	Neuenkirchen	03352038	Neuenkirchen
03352041	Nordleda	03352041	Nordleda
03352045	Osterbruch	03352045	Osterbruch
03352046	Otterndorf, Stadt	03352046	Otterndorf, Stadt
03352025	Ihlienworth	03352025	Ihlienworth
03352043	Odisheim	03352043	Odisheim
03352051	Steinau	03352051	Steinau
03352055	Wanna	03352055	Wanna
03256007	Eystrup	03256007	Eystrup
03256008	Gandesbergen	03256008	Gandesbergen
03256009	Hämelhausen	03256009	Hämelhausen
03256010	Hassel (Weser)	03256010	Hassel (Weser)
03256003	Bücken, Flecken	03256003	Bücken, Flecken
03256013	Hilgermissen	03256013	Hilgermissen
03256014	Hoya, Stadt	03256014	Hoya, Stadt
03256015	Hoyerhagen	03256015	Hoyerhagen
03256028	Schweringen	03256028	Schweringen
03256035	Warpe	03256035	Warpe
03255010	Dielmissen	03255010	Dielmissen
03255012	Eimen	03255012	Eimen
03255013	Eschershausen, Stadt	03255013	Eschershausen, Stadt
03255022	Holzen	03255022	Holzen
03255028	Lüerdissen	03255028	Lüerdissen
03255001	Arholzen	03255001	Arholzen
03255007	Deensen	03255007	Deensen
03255018	Heinade	03255018	Heinade
03255027	Lenne	03255027	Lenne
03255034	Stadtoldendorf, Stadt	03255034	Stadtoldendorf, Stadt
03255036	Wangelnstedt	03255036	Wangelnstedt
08415971	Gutsbezirk Münsingen, gemeindefreies Gebiet	08415086	Gutsbezirk Münsingen, gemeindefreies Gebiet
09162000	München, Landeshauptstadt	09162000	München
12063148	Ketzin/Havel, Stadt	12063148	Ketzin, Stadt
13056053	Penzlin, Stadt	13056029	Klein Lukow
13062003	Altwigshagen	13059100	Wietstock
13060010	Crivitz, Stadt	13060087	Wessin
13060061	Plau am See, Stadt	13060037	Karow
13061004	Bergen auf Rügen, Stadt	13061039	Thesenvitz
13058100	Upahl	13058045	Hanshagen
14521170	Eibenstock, Stadt	14521170	Eibenstock, Stadt
14521170	Eibenstock, Stadt	14521580	Sosa
14523365	Rosenbach/Vogtl.	14523180	Leubnitz
14523365	Rosenbach/Vogtl.	14523210	Mehltheuer
14523365	Rosenbach/Vogtl.	14523390	Syrau
14523450	Weischlitz	14523070	Burgstein
14625525	Schirgiswalde-Kirschau, Stadt	14625070	Crostau
14625525	Schirgiswalde-Kirschau, Stadt	14625260	Kirschau
14625525	Schirgiswalde-Kirschau, Stadt	14625520	Schirgiswalde, Stadt
14626085	Ebersbach-Neugersdorf, Stadt	14626080	Ebersbach/Sa., Stadt
14626085	Ebersbach-Neugersdorf, Stadt	14626340	Neugersdorf, Stadt
14626180	Herrnhut, Stadt	14626130	Großhennersdorf
14628010	Altenberg, Stadt	14628120	Geising, Stadt
14729080	Colditz, Stadt	14729180	Großbothen
14729160	Grimma, Stadt	14729180	Großbothen
14729160	Grimma, Stadt	14729310	Nerchau, Stadt
14729160	Grimma, Stadt	14729390	Thümmlitzwalde
14729080	Colditz, Stadt	14729420	Zschadraß
14730030	Beilrode	14730130	Großtreben-Zwethau
14730200	Mügeln, Stadt	14730290	Sornzig-Ablaß
15081240	Kalbe (Milde), Stadt	15081035	Badel
15081030	Arendsee (Altmark), Stadt	15081130	Fleetmark
